date,statarb
2025-07-15,13.93633979
2025-07-16,13.50836874
2025-07-17,13.31205447
2025-07-18,13.27161425
2025-07-19,13.40714069
2025-07-20,13.29947249
2025-07-21,12.94353214
2025-07-22,12.86624276
2025-07-23,13.44539495
2025-07-24,14.50562798
2025-07-25,14.66225868
2025-07-26,14.49214514
2025-07-27,14.25020248
2025-07-28,14.18779752
2025-07-29,13.61071717
2025-07-30,14.06094406
2025-07-31,13.89142735
2025-08-01,14.06551999
2025-08-02,14.09304541
2025-08-03,13.96199124
2025-08-04,13.95392093
2025-08-05,14.08237934
2025-08-06,14.19006524
2025-08-07,14.16270288
2025-08-08,14.24861534
2025-08-09,14.1895254
2025-08-10,14.30966678
2025-08-11,13.86923266
2025-08-12,13.95332777
2025-08-13,13.77311393
2025-08-14,13.70917114
2025-08-15,13.57212604
2025-08-16,13.46114745
2025-08-17,13.5525959
2025-08-18,13.65804822
2025-08-19,13.45462082
2025-08-20,13.68521865
2025-08-21,13.76520083
2025-08-22,13.82767674
2025-08-23,14.00537593
2025-08-24,14.25974109
2025-08-25,14.1974812
2025-08-26,14.21689588
2025-08-27,14.23262486
2025-08-28,14.48222886
2025-08-29,14.34504588
2025-08-30,14.00359666
2025-08-31,13.93350454
2025-09-01,14.02935082
2025-09-02,13.92561914
2025-09-03,13.96465972
2025-09-04,14.0209067
2025-09-05,14.0101984
2025-09-06,13.95515856
2025-09-07,13.77267367
2025-09-08,13.62964019
